fare_id,route_id,origin_id,destination_id,contains_id
115,,SSAN,SSAN,
64,,SSAN,SBRN,
153,,SSAN,SFIA,
64,,SSAN,MLBR,
132,,SSAN,WDUB,
106,,SSAN,RICH,
102,,SSAN,DELN,
98,,SSAN,PLZA,
95,,SSAN,NBRK,
93,,SSAN,DBRK,
92,,SSAN,ASHB,
89,,SSAN,MCAR,
87,,SSAN,19TH,
87,,SSAN,12TH,
87,,SSAN,LAKE,
93,,SSAN,FTVL,
97,,SSAN,COLS,
103,,SSAN,SANL,
107,,SSAN,BAYF,
113,,SSAN,HAYW,
119,,SSAN,SHAY,
129,,SSAN,UCTY,
135,,SSAN,FRMT,
113,,SSAN,CAST,
135,,SSAN,DUBL,
143,,SSAN,PITT,
133,,SSAN,NCON,
64,,SSAN,COLM,
129,,SSAN,CONC,
121,,SSAN,PHIL,
118,,SSAN,WCRK,
111,,SSAN,LAFY,
103,,SSAN,ORIN,
92,,SSAN,ROCK,
86,,SSAN,WOAK,
78,,SSAN,EMBR,
78,,SSAN,MONT,
78,,SSAN,POWL,
78,,SSAN,CIVC,
75,,SSAN,16TH,
73,,SSAN,24TH,
68,,SSAN,GLEN,
64,,SSAN,BALB,
64,,SSAN,DALY,
217,,SSAN,OAKL,
64,,SBRN,SSAN,
115,,SBRN,SBRN,
153,,SBRN,SFIA,
64,,SBRN,MLBR,
137,,SBRN,WDUB,
111,,SBRN,RICH,
107,,SBRN,DELN,
104,,SBRN,PLZA,
100,,SBRN,NBRK,
99,,SBRN,DBRK,
97,,SBRN,ASHB,
95,,SBRN,MCAR,
93,,SBRN,19TH,
93,,SBRN,12TH,
93,,SBRN,LAKE,
98,,SBRN,FTVL,
102,,SBRN,COLS,
108,,SBRN,SANL,
113,,SBRN,BAYF,
118,,SBRN,HAYW,
124,,SBRN,SHAY,
134,,SBRN,UCTY,
141,,SBRN,FRMT,
118,,SBRN,CAST,
140,,SBRN,DUBL,
148,,SBRN,PITT,
138,,SBRN,NCON,
64,,SBRN,COLM,
134,,SBRN,CONC,
126,,SBRN,PHIL,
123,,SBRN,WCRK,
116,,SBRN,LAFY,
108,,SBRN,ORIN,
97,,SBRN,ROCK,
91,,SBRN,WOAK,
86,,SBRN,EMBR,
86,,SBRN,MONT,
86,,SBRN,POWL,
86,,SBRN,CIVC,
83,,SBRN,16TH,
81,,SBRN,24TH,
76,,SBRN,GLEN,
73,,SBRN,BALB,
64,,SBRN,DALY,
222,,SBRN,OAKL,
153,,SFIA,SSAN,
153,,SFIA,SBRN,
115,,SFIA,SFIA,
88,,SFIA,MLBR,
229,,SFIA,WDUB,
203,,SFIA,RICH,
199,,SFIA,DELN,
196,,SFIA,PLZA,
192,,SFIA,NBRK,
191,,SFIA,DBRK,
189,,SFIA,ASHB,
187,,SFIA,MCAR,
185,,SFIA,19TH,
185,,SFIA,12TH,
185,,SFIA,LAKE,
190,,SFIA,FTVL,
194,,SFIA,COLS,
200,,SFIA,SANL,
205,,SFIA,BAYF,
211,,SFIA,HAYW,
216,,SFIA,SHAY,
226,,SFIA,UCTY,
233,,SFIA,FRMT,
210,,SFIA,CAST,
232,,SFIA,DUBL,
241,,SFIA,PITT,
230,,SFIA,NCON,
159,,SFIA,COLM,
226,,SFIA,CONC,
218,,SFIA,PHIL,
215,,SFIA,WCRK,
208,,SFIA,LAFY,
200,,SFIA,ORIN,
